Company,Symbol,MarketCap,StockPrice,PE_Ratio,EPS
 Marsh and McLennan Companies ,MMC,60.08,118.62,23.21,3.96
 Ecolab ,ECL,58.97,206.63,38.99,-2.98
 Automatic Data Processing ,ADP,58.89,136.97,22.98,5.7
 Boston Scientific ,BSX,58.69,41.02,24.71,2.83
 Norfolk Southern ,NSC,56.64,222.03,20.65,8.05
 Intercontinental Exchange ,ICE,56.42,100.53,21.71,3.87
 Northrop Grumman ,NOC,56.35,338.02,13.39,14.21
 US Bancorp ,USB,56.22,37.32,13.23,3.2
 Southern ,SO,55.99,53.01,15.97,3.06
 Progressive ,PGR,55.66,95.08,17.32,7.46
 Micron ,MU,54.5,49.05,12.02,1.99
 Newmont Mining ,NEM,54.25,67.55,16.97,4.8
 Moody's ,MCO,53.86,286.95,29.25,9.12
 General Electric ,GE,53.4,6.10,17.43,-0.58
 Truist Financial Corp ,TFC,53.11,39.41,0,0
 Chubb ,CB,53.11,117.66,10.75,4.82
 Humana ,HUM,52.92,399.99,18.1,26.27
 Dollar General ,DG,52.4,202.87,20.81,9.19
 Applied Materials ,AMAT,52.24,57.20,12.46,3.44
 Global Payments ,GPN,51.81,173.15,21.75,1.39
 Edwards Lifesciences ,EW,51.79,83.30,37.69,1.18
 Autodesk ,ADSK,51.72,235.87,44.09,1.63
 Illumina ,ILMN,51.42,352.19,51.26,4.68
 Kimberly-Clark ,KMB,49.96,146.48,18.59,7.45
 Waste Management ,WM,49.46,117.07,26.73,3.78
 PNC Financial ,PNC,47.24,111.29,15.52,16.11
 Aon PLC ,AON,46.79,202.00,18.95,7.48
 HCA ,HCA,45.91,135.80,11.82,9.69
 General Motors ,GM,45.19,31.58,7.13,1.06
 Lam Research ,LRCX,44.99,308.93,12.86,15.1
 Charles Schwab ,SCHW,44.78,34.75,18.89,2.39
 Analog Devices ,ADI,44.57,116.06,20.91,2.99
 Biogen ,BIIB,44.08,278.45,8.95,34.04
 Monster Beverage ,MNST,43.85,83.14,32.6,2.12
 Du Pont ,DD,43.7,59.55,16.97,-3.44
 Roper ,ROP,42.29,403.89,29.18,15.27
 General Dynamics ,GD,41.65,145.14,12.05,11.27
 Digital Realty Trust ,DLR,41.45,147.28,100.19,2.72
 Eaton ,ETN,41.16,102.88,21.04,3.74
 Emerson Electric ,EMR,40.88,68.41,20.06,3.21
 Baxter International ,BAX,40.76,80.51,21.88,1.79
 American Electric Power ,AEP,40.07,80.00,17.2,3.83
 Las Vegas Sands ,LVS,39.6,51.85,25.92,0.44
 Kraft Heinz ,KHC,39.09,31.97,12.74,-0.16
 L3Harris Technologies ,LHX,38.65,178.78,13.52,7.35
 Public Storage ,PSA,38.63,221.01,31.3,7
 Cognizant ,CTSH,38.03,70.13,17.71,2.96
 Constellation Brands ,STZ,37.96,196.59,19.72,0.29
 Dow Chemical ,DOW,37.85,51.07,23,-2.68
 Electronic Arts ,EA,37.06,128.33,21.57,6.76
 Xcel Energy ,XEL,36.99,70.41,23.71,2.66
 Brown-Forman ,BF.B,36.55,78.96,41.12,2
 ConocoPhillips ,COP,36.25,33.80,55.41,2.1
 eBay ,EBAY,36.24,51.78,13.08,6.46
 SBA Communications ,SBAC,36.2,323.35,115.07,-0.14
 General Mills ,GIS,36.06,59.02,16.21,3.56
 Exelon ,EXC,35.94,36.17,12.3,2.71
 Chipotle Mexican Grill ,CMG,35.73,1277.36,60.91,9.02
 O'Reilly Automotive ,ORLY,35.36,477.41,21.64,20.37
 Cintas ,CTAS,35.17,328.17,35.9,8.11
 Marriott International ,MAR,34.18,105.39,35.37,1.41
 MetLife ,MET,34.05,37.51,6.24,7.71
 Sempra Energy ,SRE,34.03,117.63,14.69,14.53
 Centene ,CNC,33.71,58.18,10.12,3.14
 Capital One ,COF,33.47,73.30,10.35,-0.26
 Ross Stores ,ROST,33.44,93.92,22.05,1.53
 TE Connectivity ,TEL,33.32,100.95,20.56,-0.3
 Sysco ,SYY,33.26,65.40,22.09,0.42
 Twitter ,TWTR,32.43,39.09,53.55,-1.58
 Amphenol ,APH,32.3,108.33,27.29,3.59
 Synopsys ,SNPS,32.01,210.95,34.3,4.04
 IHS Markit ,INFO,31.54,79.48,25.15,1.97
 IQVIA Holdings ,IQV,31.5,164.71,21.84,0.67
 Johnson Controls International ,JCI,31.47,42.29,17.26,1.05
 IDEXX Laboratories ,IDXX,31.41,369.24,58.7,5.29
 Wec Energy ,WEC,31.28,99.15,24.79,3.7
 Cummins ,CMI,31.03,210.13,17.88,11.28
 Agilent ,A,30.95,100.37,27.35,2.21
 Bank of New York Mellon ,BK,30.89,34.87,8.92,4.64
 Republic ,RSG,30.84,96.82,27.58,3.3
 PPG Industries ,PPG,30.66,129.92,20.82,4.23
