Company,Symbol,MarketCap,StockPrice,PE_Ratio,EPS
 Alaska Air ,ALK,5.22,42.18,30.13,0.46
 Zions Bancorp ,ZION,5.11,31.16,10.28,2.56
 PVH Corp ,PVH,5.04,70.93,12.38,-13.92
 Under Armour ,UA,4.97,10.25,68.33,-1.51
 Under Armour ,UAA,4.97,11.66,116.6,-1.51
 DXC Technology ,DXC,4.97,19.56,4.77,-22.48
 Invesco ,IVZ,4.84,10.53,6.23,1.01
 Diamondback Energy ,FANG,4.81,30.50,9.21,-17.39
 Norwegian Cruise Line ,NCLH,4.68,16.97,-3.92,-9.2
 Tapestry Inc ,TPR,4.65,16.84,7.69,-2.34
 FLIR ,FLIR,4.63,35.34,15.78,1.04
 Apache ,APA,4.52,11.94,-398,-21.21
 National Oilwell Varco ,NOV,4.4,11.32,-32.34,-7.22
 People's United ,PBCT,4.38,10.32,10.75,1.14
 Noble Energy ,NBL,4.37,9.02,-451,-11.61
 Harley-Davidson ,HOG,4.18,27.28,11.09,0.49
 Xerox ,XRX,4.11,18.90,8.48,4.71
 Unum ,UNM,3.7,18.19,3.41,4.7
 Flowserve ,FLS,3.67,28.19,17.62,1.11
 SL Green Realty ,SLG,3.66,49.90,-101.84,2.8
 Kohl's ,KSS,3.65,23.13,13.37,-0.7
 Devon Energy ,DVN,3.53,9.23,22.51,-7.91
 HollyFrontier ,HFC,3.51,21.69,20.27,-0.98
 Marathon Oil ,MRO,3.43,4.34,-7.11,-0.82
 Capri ,CPRI,3.2,21.15,7.4,-2.99
 FMC ,FTI,3.04,6.82,9.88,-12.89
