year,month,day,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19,hr20,hr21,hr22,hr23
2018,2,26,22,24,25,27,25,27,25,23,26,29,33,37,35,37,41,41,42,42,41,39,30,27,18,16
2018,2,27,17,14,16,12,9,8,7,9,14,27,36,38,39,39,42,42,42,41,33,27,23,21,20,19
2018,2,28,18,17,18,18,17,17,16,17,20,28,38,38,40,39,39,39,39,38,35,31,27,22,22,23
2018,3,1,25,21,19,18,17,12,13,17,17,27,32,38,38,36,36,35,34,39,42,40,42,44,45,46
2018,3,2,45,44,40,35,27,27,22,22,20,30,-9,40,43,42,38,37,38,37,29,30,24,22,23,22
2018,3,3,20,21,25,23,21,20,21,19,22,35,40,42,42,43,43,43,41,36,26,21,19,17,15,14
2018,3,4,14,15,13,14,15,14,14,13,17,30,40,41,42,42,43,44,42,40,35,27,22,18,17,15
2018,3,5,15,17,16,16,18,21,20,21,23,29,38,42,41,43,44,44,43,41,38,29,26,23,21,20
2018,3,6,22,21,22,22,23,23,22,22,26,32,42,45,46,48,48,47,47,47,42,34,32,30,27,27
2018,3,7,26,27,27,26,26,25,25,23,23,27,41,45,47,48,50,51,51,48,43,35,29,27,21,20
2018,3,8,21,22,21,20,18,17,16,15,14,19,29,38,42,41,40,40,44,40,36,34,31,25,22,20
2018,3,9,20,18,15,14,13,13,12,8,10,16,32,36,35,36,35,31,32,30,28,31,35,32,26,20
2018,3,10,13,8,5,5,5,8,8,5,12,23,20,18,18,19,23,22,18,15,12,11,7,7,3,4
2018,3,11,5,5,4,5,5,6,6,8,12,18,27,31,33,32,32,32,31,28,25,22,19,21,21,16
2018,3,12,11,6,3,3,4,4,2,1,5,10,15,20,29,31,28,27,25,22,14,9,5,8,5,5
2018,3,13,4,5,4,4,3,5,2,3,8,22,30,37,34,36,37,33,31,35,31,27,22,16,15,15
2018,3,14,17,14,13,12,13,14,10,13,15,12,28,33,37,40,43,43,44,42,39,26,25,22,16,8
2018,3,15,9,5,14,16,16,14,15,16,24,38,41,41,40,40,40,40,40,39,38,33,24,23,24,21
2018,3,16,17,16,17,21,21,17,9,13,33,39,40,44,43,42,41,39,38,37,31,19,17,14,15,12
